ID,roi_rIFG,roi_rpSMA,roi_rSMA
CC120347,1.54902305573593,1.66316126452552,1.57409362145412
CC120376,2.93607108828462,2.65368685163098,1.68398445182376
CC120409,3.34676308543594,2.14352923852426,2.10231259281253
CC120462,2.08920716650692,1.72139306715977,1.45557332038879
CC120469,3.11016728259899,2.81721821832068,2.35899557302028
CC120470,2.27947754035761,2.74219882782595,2.07304382177047
CC120550,2.89176766813537,2.76103451811237,1.99167163725252
CC120640,2.8866805544606,2.16644714643926,1.58329640494453
CC120727,2.46286767500418,2.12331887086233,1.73134235541026
CC120764,2.96083096074469,1.89105532345948,1.41453762702
CC120795,1.92003295892551,1.73735868047785,1.51035161739514
CC120816,1.98364605579847,1.3446959639773,1.1924143065641
CC120987,2.74503699938456,1.81939501674087,1.30563044253691
CC121106,1.82641206111437,1.90981267411032,1.74720713680173
CC121111,3.46178559167885,2.55476685512213,2.17371981820942
CC121144,2.99323198236065,2.23406620231676,1.86960703649639
CC121158,2.11191871283967,1.3711926318981,1.22987054601128
CC121194,1.66466070398872,1.2367279080697,1.51234964529673
CC121200,2.59014734809781,1.68972714153337,1.34334441688326
CC121317,1.91122222682576,1.23737364565885,1.05435836903843
CC121397,2.73969022727307,2.3696577269354,1.77055343139319
CC121411,2.39942271915483,1.80362484926059,1.83321851712686
CC121428,1.98671153592475,1.74428519790555,1.52911304544519
CC121479,3.42628059858157,2.16509718070796,1.93492814493768
CC121685,3.11656602812402,2.59701379581734,2.30371125097628
CC121795,2.52871692033462,1.9893728553513,1.59199201766356
CC122172,2.68573090029352,1.76639908772928,1.65885572816119
CC122405,2.30059040034259,1.83865457552451,1.45456966058708
CC122620,3.20424732161157,2.32727094638495,2.40525203428151
CC210023,1.83196306081466,1.76084917710151,1.29369092576298
CC210051,1.17812319523022,1.19303493220129,0.970102822339093
CC210088,2.45726870018759,1.79231926099754,1.34781513685062
CC210124,2.13601807753245,1.80104824643076,1.60852033120615
CC210148,2.16543162752081,1.7440397930734,1.56496516716333
CC210172,2.30336566913275,2.07249981974378,1.57321853696564
CC210182,3.0978102831193,1.90603951613108,1.48526152710856
CC210250,2.23267456190086,2.35148581457727,1.25146093780612
CC210304,2.19709661419009,1.67786697105125,1.67070937745365
CC210314,2.29434066937294,2.13301433162925,1.72602592427054
CC210422,2.76226662412102,2.63491794062249,1.61915337303538
CC210519,1.77902957833843,1.37218435090265,1.40558022775768
CC210526,4.23740502345709,2.32860007109465,2.18364455376142
CC210617,2.33496357923673,1.58371976422675,1.24722253393244
CC210657,4.26016147637073,3.02712951471776,2.67433332366708
CC212153,1.54790955193249,1.87144620330245,1.26590722872887
CC220098,1.11953901508708,1.28952015550048,0.996209940792602
CC220107,1.75875199135439,1.22226059878314,1.22547331709921
CC220115,2.56651024465208,2.09834454972067,1.55066136813458
CC220132,2.55902376292664,1.80563069861612,2.44583179626936
CC220151,3.17870349648558,2.0725721621219,1.58697470029195
CC220198,2.50512863088537,2.01170859071943,1.47613625393973
CC220203,2.09173774572066,1.50548756269761,1.56912532264804
CC220223,2.93648495350355,1.56871902648314,1.33394199388999
CC220232,1.72990785557547,1.49855147467719,1.31186465348726
CC220234,2.86777090731962,2.63119204103211,2.66664272767526
CC220284,1.89735086906103,1.47282063225169,1.53235735863815
CC220323,2.01759135281598,1.77424067038077,1.43099619429788
CC220335,1.99131898821136,1.84004038793069,1.16391761435403
CC220352,2.28356953903481,1.90066480489425,1.34065717679483
CC220372,2.78794726471842,1.87268209457397,1.33286730301233
CC220394,2.02531174818675,1.38339727749059,1.17430862747593
CC220419,2.85229994485408,1.89523234190764,1.97086070202015
CC220506,2.21348611660946,1.79875455815115,1.6710551035257
CC220518,2.83074533203502,2.05697248158631,1.41658308476578
CC220519,2.16755753976327,1.67246376437905,1.4626162611408
CC220526,1.88355543731171,1.57097292976615,1.42365094908962
CC220535,2.05149777583134,1.28096216990624,1.33345578482122
CC220567,2.14201167777733,1.78445138754668,1.68020265337862
CC220610,1.88855726336255,1.49910770669396,1.25107085484046
CC220635,2.16239981886781,1.70079512360655,1.50234428967959
CC220697,1.72895976643503,1.96817074587316,1.78090118920362
CC220713,1.59645482125106,1.27608410958891,1.25128291418523
CC220806,2.73101128619394,2.82170115282506,1.35972732526285
CC220828,1.94617564001201,1.47723100656345,1.07455244108483
CC220843,2.49525303752334,1.86860511626726,1.58389927869962
CC220901,1.93698247420935,2.11473789479997,1.26412928766674
CC220920,1.62366639022474,2.0464586843679,1.31400888348803
CC220974,2.46443282380516,2.00023021668564,1.48902230056716
CC220999,2.1644812601584,1.91009144871323,1.97811129799596
CC221002,2.2096984077383,1.85650133056405,1.42477804348793
CC221031,1.77743851549831,1.23125078207181,1.17429309936217
CC221033,1.93554239655718,1.71686283453011,1.30312548228252
CC221038,2.34996659814576,1.65979602601793,1.59306811697689
CC221040,2.53540944170069,1.54488710120872,1.32673841199757
CC221054,2.12402551262467,1.59140800252373,1.93373178994214
CC221107,2.51959862238095,1.79909045460783,1.31547310028547
CC221209,2.78513485855526,1.75799955850766,2.21407902535097
CC221220,2.33213661187961,1.82000650741436,1.36052223340965
CC221244,2.63001343350352,1.74430526480263,1.19139747487174
CC221324,2.51308379497057,2.03549269835154,1.99182077984751
CC221336,3.21498623306369,2.08927397227582,1.8443598938577
CC221352,1.59763663712843,1.52913955994594,1.13080871325952
CC221373,3.32127451160808,2.71169531934055,3.14419376408612
CC221487,3.11214275418976,1.97157539408884,1.70050383791511
CC221511,1.90686940116647,1.63188864713834,1.14257583279669
CC221527,2.10964688106819,1.97501908555443,1.69101461069084
CC221565,1.9506507758741,1.51510807172752,1.1841337070053
CC221580,1.83543632354265,1.43365910612507,1.4421541808564
CC221595,2.19798686769274,1.49390668633543,1.6908183598224
CC221648,3.19602722738996,2.17715864416994,2.81292986428296
CC221733,3.73256575914077,2.45917689211575,2.32335779696335
CC221740,2.03799939155579,1.96971610298863,1.55273603804318
CC221755,3.15203086387964,1.92916219911458,1.73124016361472
CC221775,6.13020053027589,3.72945282341521,3.96019470544509
CC221828,2.38736226382079,1.89717657919283,1.61748266661609
CC221886,3.04188916418287,2.09655928464583,1.69330146136107
CC221935,2.04873546258903,1.83789145799331,1.62181097636988
CC221954,2.40038123248536,1.90888156861435,1.72219664815031
CC221977,2.75238506587935,1.59666613296226,1.74880497985416
CC221980,2.02644853238706,1.41168540053897,1.08602091854001
CC222120,1.68340327857453,2.00829087510521,1.47216541384473
CC222125,3.4328376069481,3.1041856356609,1.84143810949208
CC222185,3.02559541331397,2.56379878668138,1.83272612389223
CC222258,2.36282257091852,2.0806029887847,1.52317458170432
CC222264,2.80030216699765,1.97069007820553,1.64249421784907
CC222304,2.62390773531831,1.92280754925292,1.71468168570672
CC222326,1.69203894079467,1.32327002728427,1.05188376815231
CC222367,2.7659341994627,1.67894966219678,1.46530898412069
CC222496,2.71790113125318,1.637375989078,1.42405117588279
CC222555,2.50599998162117,2.6482398039029,2.33844806088342
CC222652,3.36936756710947,3.85238738707554,3.38585507133861
CC222797,2.3039346418263,2.30164804429184,1.46009353943813
CC222956,2.86885975761178,2.3366668548113,1.99439109254766
CC223085,2.81665536945249,2.23940026318585,2.25718298370456
CC223115,2.3492844266656,1.69376121774132,1.75629056824578
CC223286,3.59775807239391,2.49005049982189,2.37044176790449
CC310008,3.72163064685869,2.76999641936502,2.24089361267325
CC310051,1.7053514726368,1.72443013426698,1.46459784036801
CC310052,1.45971940844147,1.32426427617485,1.10374196296857
CC310086,3.43829460350084,2.22644580735101,1.59281614827521
CC310129,2.21414205910247,1.90453938643138,1.5021654073103
CC310135,2.75206450768459,2.20804645691389,1.44610048076253
CC310142,1.83727662210111,1.26762832535638,1.18600484618434
CC310160,2.06828660287975,1.75724750094944,1.25333346996778
CC310203,2.5167783645936,1.8246295157774,1.43703224629532
CC310214,2.23018211199913,1.89805621423839,2.08161064283347
CC310224,1.81092586635072,1.21678074642464,1.10598650390719
CC310252,2.39980192390489,1.91790461540222,1.55604239893548
CC310256,1.935848005024,1.72905198438668,1.33244836919102
CC310331,1.41845241005038,1.29075762666302,1.08879602912032
CC310361,2.25298836790485,1.57347637194174,1.74611231427134
CC310385,2.46688679118215,1.9450085280854,2.23188070014671
CC310391,2.05186820103798,1.88089335847784,1.5233562051514
CC310397,2.45753674595444,1.92301386668358,1.83932553250113
CC310400,2.22635014704716,1.44556751663302,1.25898406167089
CC310402,1.90397390833607,1.6463979497368,1.2354640710501
CC310407,1.29832296754107,1.32788645926817,1.24219363854255
CC310410,1.41347776077412,1.3165379460947,1.03234555029575
CC310414,2.11011247281675,1.88346330177637,1.41676051234022
CC310450,1.91733502900159,1.58232248712469,1.49602339885853
CC310463,1.68059839437037,1.5832540532689,1.3748819945771
