"subject","mu.true","mu.false","sigma.true","sigma.false","tau.true","tau.false","muS","sigmaS","tauS","tf","gf","SSRT","go_match","go_mismatch","tf_prob","gf_prob"
"120061",0.933337921940116,0.330269918897866,0.3393472527035,0.0237383303075394,0.621332680010796,0.0793640266233997,0.173060700091506,0.0289026145384804,0.046432522017622,-1.64797508554067,-0.0414365096634377,0.222734592965377,1.64265552218704,0.409631511926432,0.049678891954152,0.48347395363877
"120065",0.58643542898701,2.16189846673599,0.171868035456641,0.245552788257711,0.0809584742308603,0.694244520812662,0.0748337210023762,0.139253664016812,0.0458376221657703,-2.37333036316056,-2.66979812471354,0.131507260485954,0.667596359498813,2.93241408172872,0.00881424431701421,0.00379484316061677
"120120",0.298976572055078,0.275371068366699,0.0256369743840931,0.0590484272548615,0.0441240621896132,1.65697123933469,0.127329157506386,0.0661162864366498,0.0265326371434971,-2.14767227014728,-3.03151150261305,0.155805016605256,0.343169286396603,1.93019661003818,0.0158699006477692,0.00121666324689914
"120182",0.440252882187866,1.5649078228077,0.0812203621111741,0.485759927523673,0.0881451723295957,0.679887334455658,0.124390962181163,0.00930323491319495,0.0103173962295387,-2.12489525379345,-2.96633110772803,0.135433819060875,0.528367732659194,2.31809489752236,0.0167976770497787,0.00150687918838437
"121397",0.370767150792949,1.56339778283757,0.0374641690458748,0.540136150482045,0.0466819131194727,0.725894052215953,0.153268767162398,0.0458408120868469,0.0241406446201592,-2.45136652466049,-3.0394557308183,0.178494110585636,0.417476184689631,2.35891802349682,0.00711574795479421,0.00118503015983291
"121411",0.339778598256418,0.302171776469312,0.0765229434023445,0.0259282838781226,1.14692648222437,0.0474927078635988,0.189854320293736,0.0130681984250514,0.0113936987082149,-2.238916610768,-0.0436703436065929,0.20228616673881,1.49187917092408,0.349795924867903,0.0125806712403077,0.482583589514451
"121428",0.997651858904852,0.358127325069708,0.380969574671535,0.048784144664364,0.688683517028808,0.0622021525254994,0.0408266133715027,0.487706281444323,0.0360180153641058,-2.07655486303382,-0.0382659055484903,0.0893290466103736,1.7488351683252,0.420397228166894,0.0189213313758753,0.484737837148516
"122620",0.370196047595872,1.41753857716505,0.0391836582238834,0.457378075526283,0.0738814569768474,0.701002758299659,0.164682548513889,0.0652461365783003,0.0267280690069349,-2.42281555171528,-3.05154910849438,0.192714194333284,0.444159108669186,2.18423586853805,0.00770037203686488,0.00113831901904086
"210051",0.589669699189023,1.23622635036832,0.0741958859448746,0.33347088239362,0.0996103010341307,0.255311437121775,0.125183530671688,0.173538098581202,0.0463743872465955,-2.477222121385,-1.92193019771205,0.176884262763127,0.689327071779577,1.52686918719168,0.00662047348078015,0.0273072707581087
"210148",0.356650170588438,0.80509545639,0.0439156218778593,0.307527775674057,0.0712567596630122,0.533132901393559,0.145500077700301,0.0815673438016141,0.0551599638962147,-1.79097979579009,-3.04790011291875,0.20308992996644,0.428026144470035,1.36508494937469,0.0366482687056596,0.00115223257246663
"220203",0.486927672041331,2.03158220177615,0.0671530202307919,0.256429620925632,0.0510212061959311,0.72617304571402,0.0612331491825265,0.167040410075913,0.041815791810318,-2.41579363760998,-3.0610590276652,0.108615715997117,0.538118321289315,2.83192286228417,0.00785047850441664,0.00110277804313546
